iter	Passed	Remaining
0	57	57810
1	58	29085
2	58	19488
3	59	14707
4	59	11816
5	59	9892
6	60	8520
7	60	7486
8	60	6681
9	60	6037
10	61	5514
11	61	5075
12	61	4705
13	62	4386
14	62	4108
15	62	3865
16	63	3649
17	63	3459
18	63	3290
19	64	3137
20	64	2998
21	64	2873
22	64	2758
23	65	2653
24	65	2556
25	65	2465
26	66	2382
27	66	2304
28	66	2232
29	66	2165
30	67	2102
31	67	2044
32	67	1989
33	68	1937
34	68	1888
35	68	1840
36	69	1796
37	69	1754
38	69	1714
39	69	1676
40	70	1640
41	70	1605
42	70	1573
43	70	1542
44	71	1512
45	71	1483
46	71	1456
47	72	1429
48	72	1405
49	72	1381
50	72	1357
51	73	1336
52	73	1315
53	73	1294
54	74	1274
55	74	1254
56	74	1234
57	74	1216
58	75	1198
59	75	1181
60	75	1164
61	75	1148
62	76	1133
63	76	1117
64	76	1103
65	76	1089
66	77	1075
67	77	1059
68	77	1047
69	77	1034
70	78	1021
71	78	1010
72	78	998
73	78	986
74	79	975
75	79	964
76	79	954
77	79	944
78	80	934
79	80	925
80	80	916
81	80	906
82	81	897
83	81	888
84	81	878
85	81	869
86	81	860
87	82	851
88	82	844
89	82	836
90	83	829
91	83	822
92	83	814
93	83	807
94	84	801
95	84	794
96	84	788
97	84	781
98	85	774
99	85	769
100	85	763
101	85	755
102	86	749
103	86	744
104	86	738
105	86	732
106	87	727
107	87	721
108	87	716
109	87	711
110	88	706
111	88	700
112	88	695
113	88	691
114	89	686
115	89	681
116	89	676
117	89	672
118	90	667
119	90	663
120	90	658
121	90	654
122	91	649
123	91	645
124	91	640
125	91	636
126	92	632
127	92	628
128	92	624
129	92	620
130	93	617
131	93	613
132	93	610
133	93	606
134	94	603
135	94	599
136	94	596
137	94	592
138	95	589
139	95	585
140	95	582
141	95	579
142	96	575
143	96	572
144	96	569
145	96	566
146	97	563
147	97	560
148	97	557
149	97	554
150	98	551
151	98	548
152	98	545
153	98	543
154	99	540
155	99	538
156	99	535
157	99	532
158	100	529
159	100	527
160	100	524
161	100	522
162	101	519
163	101	517
164	101	514
165	102	512
166	102	510
167	102	507
168	102	505
169	103	503
170	103	500
171	103	498
172	103	496
173	104	493
174	104	491
175	104	489
176	104	487
177	105	485
178	106	486
179	106	484
180	106	481
181	106	479
182	106	477
183	107	475
184	107	473
185	107	471
186	108	469
187	108	467
188	108	465
189	108	463
190	109	462
191	109	460
192	109	458
193	109	456
194	110	454
195	110	453
196	110	451
197	110	449
198	111	447
199	111	445
200	111	444
201	112	442
202	112	440
203	112	439
204	112	437
205	113	435
206	113	434
207	113	432
208	113	430
209	114	429
210	114	427
211	114	426
212	114	424
213	115	422
214	115	420
215	115	419
216	115	417
217	116	416
218	116	414
219	116	412
220	116	411
221	116	409
222	117	408
223	117	406
224	117	405
225	117	403
226	118	402
227	118	400
228	118	399
229	118	398
230	119	396
231	119	395
232	119	394
233	120	392
234	120	391
235	120	390
236	120	389
237	121	387
238	121	386
239	121	385
240	121	383
241	122	382
242	122	381
243	122	379
244	122	378
245	123	377
246	123	376
247	123	374
248	123	373
249	124	372
250	124	371
251	124	370
252	124	368
253	125	367
254	125	366
255	125	365
256	126	364
257	126	363
258	126	361
259	126	360
260	127	359
261	127	358
262	127	357
263	127	356
264	127	354
265	128	353
266	128	352
267	128	351
268	128	350
269	129	349
270	129	348
271	129	347
272	129	346
273	130	345
274	130	344
275	130	343
276	131	342
277	131	341
278	131	340
279	131	339
280	132	338
281	132	336
282	132	335
283	132	334
284	133	333
285	133	332
286	133	331
287	133	330
288	134	330
289	134	329
290	134	328
291	134	327
292	135	326
293	135	325
294	135	324
295	136	323
296	136	322
297	136	321
298	136	320
299	137	319
300	137	318
301	137	317
302	137	316
303	138	316
304	138	315
305	138	314
306	138	313
307	139	312
308	139	311
309	139	310
310	139	309
311	140	310
312	140	309
313	141	308
314	141	307
315	141	306
316	141	305
317	142	305
318	142	304
319	142	303
320	143	302
321	143	301
322	143	300
323	143	299
324	143	299
325	144	298
326	144	297
327	144	296
328	145	295
